Airport Code,Airport Name,City Name,State Name,Average Fare ($)
FOD,Fort Dodge Regional,Fort Dodge,IA,444.67
DUT,Unalaska Airport,Unalaska,AK,1357.25
PUB,Pueblo Memorial,Pueblo,CO,425.73
CGI,Cape Girardeau Regional,Cape Girardeau,MO,598.22
MKG,Muskegon County,Muskegon,MI,435.38
TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,434.85
MBL,Manistee County-Blacker,Manistee/Ludington,MI,462.21
GST,Gustavus Airport,Gustavus,AK,193.82
MCW,Mason City Municipal,Mason City,IA,424.66
AUG,Augusta State,Augusta/Waterville,ME,475.53
TEX,Telluride Regional,Telluride,CO,672.23
BHB,Hancock County-Bar Harbor,Bar Harbor,ME,513.68
PKB,Mid-Ohio Valley Regional,Parkersburg,WV,565.57
IWD,Gogebic-Iron County,Ironwood,MI,572.62
CEZ,Cortez Municipal,Cortez,CO,542.95
UIN,Quincy Regional-Baldwin Field,Quincy,IL,468.57
RKD,Knox County Regional,Rockland,ME,565.09
DUJ,DuBois Regional,DuBois,PA,493.12
MGW,Morgantown Municipal Walter L Bill Hart Field,Morgantown,WV,453.0
TUP,Tupelo Regional,Tupelo,MS,533.43
RUT,Rutland - Southern Vermont Regional,Rutland,VT,424.18
LNS,Lancaster Airport,Lancaster,PA,452.75
PVC,Provincetown Municipal,Provincetown,MA,828.04
BRL,Southeast Iowa Regional,Burlington,IA,477.64
PGA,Page Municipal,Page,AZ,490.42
AIA,Alliance Municipal,Alliance,NE,552.4
AOO,Altoona-Blair County,Altoona,PA,430.07
IRK,Kirksville Regional,Kirksville,MO,506.19
TVF,Thief River Falls Regional,Thief River Falls,MN,642.85
SDY,Sidney Richland Regional,Sidney,MT,552.5
HOM,Homer Airport,Homer,AK,748.32
MSL,Northwest Alabama Regional,Muscle Shoals,AL,523.48
GLH,Greenville Mid Delta,Greenville,MS,624.42
BFD,Bradford Regional,Bradford,PA,478.5
BKG,Branson Airport,Branson,MO,96.85
SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,579.75
MCK,McCook Ben Nelson Regional,McCook,NE,491.25
VQS,Antonio Rivera Rodriguez,Vieques,PR,544.3
CDR,Chadron Municipal,Chadron,NE,490.33
ADK,Adak,Adak Island,AK,741.79
SOW,Show Low Regional,Show Low,AZ,429.79
MSS,Massena International-Richards Field,Massena,NY,449.91
